iteration,mu_friction_coeff,chain_tension_N,power_W,chain_speed_ms,efficiency_11sp_pct,efficiency_12sp_pct,delta_efficiency_pct,loss_11sp_pct,loss_12sp_pct
1,0.003695,688.5,191.25,0.2778,95.9353,96.1755,0.2402,4.0647,3.8245
2,0.003112,930.4,251.5,0.2703,96.5763,96.7786,0.2023,3.4237,3.2214
3,0.004049,709.56,213.29,0.3006,95.546,95.8092,0.2632,4.454,4.1908
4,0.002842,754.34,225.8,0.2993,96.8741,97.0588,0.1847,3.1259,2.9412
5,0.002837,747.6,247.48,0.331,96.8791,97.0635,0.1844,3.1209,2.9365
6,0.003563,754.95,238.39,0.3158,96.0808,96.3124,0.2316,3.9192,3.6876
7,0.003933,682.21,270.87,0.3971,95.6735,95.9291,0.2557,4.3265,4.0709
8,0.003777,795.69,173.32,0.2178,95.8449,96.0904,0.2455,4.1551,3.9096
9,0.00414,794.44,163.91,0.2063,95.4459,95.715,0.2691,4.5541,4.285
10,0.002935,968.15,240.56,0.2485,96.7711,96.9619,0.1908,3.2289,3.0381
11,0.00393,928.11,230.43,0.2483,95.677,95.9325,0.2554,4.323,4.0675
12,0.004162,808.7,232.81,0.2879,95.4214,95.692,0.2706,4.5786,4.308
13,0.003961,890.3,279.26,0.3137,95.6427,95.9002,0.2575,4.3573,4.0998
14,0.003608,919.55,156.87,0.1706,96.0309,96.2654,0.2345,3.9691,3.7346
15,0.003119,778.39,161.97,0.2081,96.569,96.7718,0.2027,3.431,3.2282
16,0.003126,714.34,191.7,0.2684,96.5615,96.7647,0.2032,3.4385,3.2353
17,0.00369,804.04,205.53,0.2556,95.941,96.1809,0.2398,4.059,3.8191
18,0.003093,770.77,290.5,0.3769,96.5974,96.7984,0.2011,3.4026,3.2016
19,0.003707,887.1,175.67,0.198,95.922,96.163,0.241,4.078,3.837
20,0.003821,735.56,206.92,0.2813,95.7971,96.0455,0.2484,4.2029,3.9545
21,0.004185,897.6,233.54,0.2602,95.3961,95.6682,0.272,4.6039,4.3318
22,0.003758,966.57,266.4,0.2756,95.8657,96.11,0.2443,4.1343,3.89
23,0.003121,690.91,197.32,0.2856,96.5673,96.7701,0.2028,3.4327,3.2299
24,0.003175,751.73,291.44,0.3877,96.5077,96.714,0.2064,3.4923,3.286
25,0.004027,786.99,248.32,0.3155,95.5704,95.8321,0.2617,4.4296,4.1679
26,0.003354,990.95,218.83,0.2208,96.3107,96.5287,0.218,3.6893,3.4713
27,0.003171,763.85,234.21,0.3066,96.5121,96.7182,0.2061,3.4879,3.2818
28,0.003168,878.76,284.67,0.3239,96.5154,96.7213,0.2059,3.4846,3.2787
29,0.003359,754.57,299.63,0.3971,96.3049,96.5233,0.2183,3.6951,3.4767
30,0.003513,710.91,157.07,0.2209,96.1353,96.3637,0.2284,3.8647,3.6363
31,0.002954,893.33,268.81,0.3009,96.7511,96.9431,0.192,3.2489,3.0569
32,0.003391,701.6,207.24,0.2954,96.2699,96.4903,0.2204,3.7301,3.5097
33,0.004195,859.9,295.66,0.3438,95.386,95.6586,0.2726,4.614,4.3414
34,0.004005,683.9,258.11,0.3774,95.5944,95.8547,0.2603,4.4056,4.1453
35,0.003754,862.57,190.02,0.2203,95.8702,96.1142,0.244,4.1298,3.8858
36,0.003697,717.93,215.21,0.2998,95.9329,96.1732,0.2403,4.0671,3.8268
37,0.003435,1004.3,281.38,0.2802,96.2213,96.4446,0.2233,3.7787,3.5554
38,0.003169,850.2,176.8,0.2079,96.5144,96.7203,0.206,3.4856,3.2797
39,0.004078,975.98,194.77,0.1996,95.5146,95.7796,0.265,4.4854,4.2204
40,0.003695,887.05,172.93,0.1949,95.936,96.1762,0.2401,4.064,3.8238
41,0.003868,863.39,266.79,0.309,95.7457,95.9971,0.2514,4.2543,4.0029
42,0.003542,680.19,198.62,0.292,96.1033,96.3335,0.2303,3.8967,3.6665
43,0.002827,995.89,281.81,0.283,96.89,97.0738,0.1838,3.11,2.9262
44,0.003964,784.55,158.69,0.2023,95.6392,95.8969,0.2577,4.3608,4.1031
45,0.004029,1001.96,162.85,0.1625,95.5679,95.8298,0.2619,4.4321,4.1702
46,0.00348,703.53,264.09,0.3754,96.1716,96.3978,0.2262,3.8284,3.6022
47,0.003872,723.65,221.29,0.3058,95.7406,95.9923,0.2517,4.2594,4.0077
48,0.00357,770.12,280.86,0.3647,96.0733,96.3053,0.232,3.9267,3.6947
49,0.003392,752.01,230.89,0.307,96.2684,96.4889,0.2205,3.7316,3.5111
50,0.003822,748.39,196.76,0.2629,95.7959,96.0443,0.2484,4.2041,3.9557
51,0.004193,900.96,215.72,0.2394,95.3875,95.66,0.2726,4.6125,4.34
52,0.003525,721.14,183.7,0.2547,96.1229,96.352,0.2291,3.8771,3.648
53,0.003273,880.02,184.52,0.2097,96.3993,96.6121,0.2128,3.6007,3.3879
54,0.003108,704.14,244.67,0.3475,96.5809,96.7829,0.202,3.4191,3.2171
55,0.003121,987.84,278.95,0.2824,96.5674,96.7703,0.2028,3.4326,3.2297
56,0.002899,760.92,250.35,0.329,96.8109,96.9993,0.1884,3.1891,3.0007
57,0.0031,724.99,290.33,0.4005,96.5901,96.7916,0.2015,3.4099,3.2084
58,0.003599,840.71,267.69,0.3184,96.0406,96.2746,0.234,3.9594,3.7254
59,0.00393,744.74,164.54,0.2209,95.6765,95.9319,0.2555,4.3235,4.0681
60,0.003403,824.02,220.05,0.2671,96.2562,96.4774,0.2212,3.7438,3.5226
61,0.003821,908.94,297.62,0.3274,95.7972,96.0456,0.2483,4.2028,3.9544
62,0.002938,816.89,200.9,0.2459,96.7684,96.9594,0.191,3.2316,3.0406
63,0.004006,764.54,178.53,0.2335,95.593,95.8534,0.2604,4.407,4.1466
64,0.003428,823.44,191.78,0.2329,96.2291,96.452,0.2228,3.7709,3.548
65,0.00315,993.91,216.47,0.2178,96.5353,96.74,0.2047,3.4647,3.26
66,0.004006,867.11,157.59,0.1817,95.5935,95.8539,0.2604,4.4065,4.1461
67,0.004199,964.25,295.35,0.3063,95.3811,95.654,0.2729,4.6189,4.346
68,0.004097,968.56,174.95,0.1806,95.4934,95.7597,0.2663,4.5066,4.2403
69,0.00348,752.67,210.16,0.2792,96.1721,96.3983,0.2262,3.8279,3.6017
70,0.002882,808.85,297.8,0.3682,96.8297,97.017,0.1873,3.1703,2.983
71,0.003171,946.58,218.25,0.2306,96.5116,96.7177,0.2061,3.4884,3.2823
72,0.003392,1005.49,299.31,0.2977,96.2686,96.4891,0.2205,3.7314,3.5109
73,0.003578,924.26,173.22,0.1874,96.0641,96.2967,0.2326,3.9359,3.7033
74,0.003215,1009.36,236.88,0.2347,96.4631,96.6721,0.209,3.5369,3.3279
75,0.003559,934.31,158.57,0.1697,96.085,96.3164,0.2313,3.915,3.6836
76,0.003618,850.97,277.91,0.3266,96.0204,96.2555,0.2352,3.9796,3.7445
77,0.00302,1006.66,162.02,0.1609,96.6776,96.8739,0.1963,3.3224,3.1261
78,0.00306,882.31,251.28,0.2848,96.6338,96.8327,0.1989,3.3662,3.1673
79,0.003129,720.76,283.54,0.3934,96.5578,96.7612,0.2034,3.4422,3.2388
80,0.003145,882.14,242.91,0.2754,96.5408,96.7452,0.2044,3.4592,3.2548
81,0.003387,878.45,228.42,0.26,96.2744,96.4945,0.2201,3.7256,3.5055
82,0.004109,749.45,257.43,0.3435,95.4806,95.7476,0.2671,4.5194,4.2524
83,0.003134,814.57,250.75,0.3078,96.5524,96.7561,0.2037,3.4476,3.2439
84,0.00322,787.5,262.78,0.3337,96.458,96.6673,0.2093,3.542,3.3327
85,0.002902,835.82,299.77,0.3587,96.8083,96.9969,0.1886,3.1917,3.0031
86,0.004195,704.91,181.97,0.2582,95.386,95.6587,0.2726,4.614,4.3413
87,0.003171,997.31,282.13,0.2829,96.5116,96.7177,0.2061,3.4884,3.2823
88,0.004031,805.64,173.66,0.2156,95.5659,95.8279,0.262,4.4341,4.1721
89,0.003967,919.2,241.75,0.263,95.636,95.8939,0.2579,4.364,4.1061
90,0.004182,902.35,151.17,0.1675,95.3997,95.6715,0.2718,4.6003,4.3285
91,0.003944,781.79,249.51,0.3192,95.6617,95.918,0.2564,4.3383,4.082
92,0.004115,725.66,167.31,0.2306,95.474,95.7415,0.2674,4.526,4.2585
93,0.00295,868.1,190.85,0.2199,96.7552,96.9469,0.1917,3.2448,3.0531
94,0.003647,923.99,180.54,0.1954,95.9886,96.2256,0.237,4.0114,3.7744
95,0.003688,769.75,223.28,0.2901,95.9433,96.183,0.2397,4.0567,3.817
96,0.004067,967.68,163.84,0.1693,95.5258,95.7902,0.2644,4.4742,4.2098
97,0.003393,774.07,150.53,0.1945,96.2677,96.4882,0.2205,3.7323,3.5118
98,0.00388,896.62,189.29,0.2111,95.7325,95.9846,0.2522,4.2675,4.0154
99,0.003838,867.57,214.15,0.2468,95.7785,96.028,0.2495,4.2215,3.972
100,0.002814,705.58,282.47,0.4003,96.9051,97.088,0.1829,3.0949,2.912
101,0.004066,865.5,275.19,0.318,95.5279,95.7922,0.2643,4.4721,4.2078
102,0.003616,730.35,169.12,0.2316,96.0229,96.2579,0.235,3.9771,3.7421
103,0.003232,985.65,269.42,0.2733,96.4453,96.6553,0.2101,3.5547,3.3447
104,0.004005,985.63,181.51,0.1842,95.5945,95.8548,0.2603,4.4055,4.1452
105,0.003149,714.95,267.02,0.3735,96.5357,96.7404,0.2047,3.4643,3.2596
106,0.004038,818.17,243.1,0.2971,95.5584,95.8209,0.2625,4.4416,4.1791
107,0.003016,996.16,279.69,0.2808,96.682,96.8781,0.1961,3.318,3.1219
108,0.004167,955.66,282.21,0.2953,95.4166,95.6875,0.2708,4.5834,4.3125
109,0.002835,930.43,199.83,0.2148,96.8818,97.0661,0.1843,3.1182,2.9339
110,0.004103,952.76,279.61,0.2935,95.4865,95.7532,0.2667,4.5135,4.2468
111,0.003935,770.71,268.11,0.3479,95.6714,95.9272,0.2558,4.3286,4.0728
112,0.002951,976.54,278.79,0.2855,96.7535,96.9454,0.1918,3.2465,3.0546
113,0.003111,957.64,219.05,0.2287,96.5775,96.7797,0.2022,3.4225,3.2203
114,0.003227,950.42,184.14,0.1937,96.45,96.6598,0.2098,3.55,3.3402
115,0.002833,745.66,199.24,0.2672,96.8836,97.0677,0.1842,3.1164,2.9323
116,0.00401,1008.74,191.87,0.1902,95.5889,95.8496,0.2607,4.4111,4.1504
117,0.003698,815.89,297.17,0.3642,95.9321,96.1725,0.2404,4.0679,3.8275
118,0.003551,999.34,167.3,0.1674,96.0942,96.325,0.2308,3.9058,3.675
119,0.004159,740.71,294.38,0.3974,95.4256,95.6959,0.2703,4.5744,4.3041
120,0.003172,716.86,215.18,0.3002,96.5112,96.7173,0.2062,3.4888,3.2827
121,0.00382,786.65,240.93,0.3063,95.798,96.0463,0.2483,4.202,3.9537
122,0.003516,810.97,236.49,0.2916,96.1324,96.3609,0.2285,3.8676,3.6391
123,0.003157,920.99,150.25,0.1631,96.5277,96.7329,0.2052,3.4723,3.2671
124,0.004096,863.07,257.91,0.2988,95.4946,95.7608,0.2662,4.5054,4.2392
125,0.003839,908.01,204.63,0.2254,95.7774,96.0269,0.2495,4.2226,3.9731
126,0.002898,905.84,199.53,0.2203,96.8122,97.0006,0.1884,3.1878,2.9994
127,0.003239,968.33,257.96,0.2664,96.4366,96.6471,0.2106,3.5634,3.3529
128,0.00322,785.16,211.26,0.2691,96.4575,96.6668,0.2093,3.5425,3.3332
129,0.003363,780.52,169.09,0.2166,96.3003,96.5189,0.2186,3.6997,3.4811
130,0.003389,999.72,251.6,0.2517,96.2725,96.4928,0.2203,3.7275,3.5072
131,0.004064,889.28,195.14,0.2194,95.5297,95.7938,0.2642,4.4703,4.2062
132,0.003567,680.14,193.04,0.2838,96.0762,96.308,0.2319,3.9238,3.692
133,0.003402,877.19,248.21,0.283,96.258,96.4791,0.2211,3.742,3.5209
134,0.003451,830.33,182.06,0.2193,96.2039,96.4282,0.2243,3.7961,3.5718
135,0.003462,986.4,269.4,0.2731,96.1913,96.4164,0.2251,3.8087,3.5836
136,0.003038,708.83,227.32,0.3207,96.6587,96.8561,0.1974,3.3413,3.1439
137,0.003686,793.96,272.76,0.3435,95.9453,96.1849,0.2396,4.0547,3.8151
138,0.003852,908.75,183.7,0.2021,95.7632,96.0136,0.2504,4.2368,3.9864
139,0.003079,688.3,186.73,0.2713,96.6133,96.8135,0.2001,3.3867,3.1865
140,0.003465,968.91,160.92,0.1661,96.1883,96.4135,0.2252,3.8117,3.5865
141,0.00338,894.12,179.17,0.2004,96.2818,96.5015,0.2197,3.7182,3.4985
142,0.003775,848.09,186.6,0.22,95.8476,96.093,0.2454,4.1524,3.907
143,0.003718,681.89,262.64,0.3852,95.9097,96.1514,0.2417,4.0903,3.8486
144,0.003878,716.24,213.77,0.2985,95.7341,95.9862,0.2521,4.2659,4.0138
145,0.003046,1005.71,227.69,0.2264,96.6491,96.8471,0.198,3.3509,3.1529
146,0.00287,764.73,277.25,0.3625,96.8427,97.0292,0.1866,3.1573,2.9708
147,0.003439,952.48,250.14,0.2626,96.217,96.4406,0.2235,3.783,3.5594
148,0.004183,882.45,292.51,0.3315,95.3986,95.6705,0.2719,4.6014,4.3295
149,0.004048,888.3,257.89,0.2903,95.5472,95.8103,0.2631,4.4528,4.1897
150,0.003507,962.39,232.18,0.2413,96.1426,96.3706,0.2279,3.8574,3.6294
151,0.004056,932.84,221.2,0.2371,95.5383,95.8019,0.2636,4.4617,4.1981
152,0.003163,764.06,245.65,0.3215,96.5208,96.7264,0.2056,3.4792,3.2736
153,0.003872,857.24,244.01,0.2846,95.7406,95.9923,0.2517,4.2594,4.0077
154,0.003184,706.34,192.86,0.273,96.4971,96.7041,0.207,3.5029,3.2959
155,0.00318,788.7,231.02,0.2929,96.5016,96.7083,0.2067,3.4984,3.2917
156,0.002994,758.63,254.09,0.3349,96.7069,96.9015,0.1946,3.2931,3.0985
157,0.003789,701.84,211.14,0.3008,95.8321,96.0784,0.2463,4.1679,3.9216
158,0.00356,821.36,181.03,0.2204,96.0844,96.3158,0.2314,3.9156,3.6842
159,0.003388,987.65,237.61,0.2406,96.273,96.4932,0.2202,3.727,3.5068
160,0.003774,971.29,264.84,0.2727,95.8489,96.0942,0.2453,4.1511,3.9058
161,0.003333,682.0,202.76,0.2973,96.3342,96.5508,0.2166,3.6658,3.4492
162,0.003855,970.17,293.01,0.302,95.7596,96.0102,0.2506,4.2404,3.9898
163,0.003387,934.16,231.92,0.2483,96.2747,96.4948,0.2201,3.7253,3.5052
164,0.003645,754.98,182.91,0.2423,95.991,96.2279,0.2369,4.009,3.7721
165,0.00341,689.87,200.42,0.2905,96.2488,96.4705,0.2217,3.7512,3.5295
166,0.003751,817.47,174.76,0.2138,95.8741,96.1179,0.2438,4.1259,3.8821
167,0.003454,723.39,243.34,0.3364,96.2002,96.4248,0.2245,3.7998,3.5752
168,0.002838,813.97,234.66,0.2883,96.8785,97.0629,0.1845,3.1215,2.9371
169,0.002838,898.53,170.35,0.1896,96.8783,97.0627,0.1845,3.1217,2.9373
170,0.003446,697.1,206.87,0.2968,96.209,96.433,0.224,3.791,3.567
171,0.003096,791.13,264.18,0.3339,96.594,96.7953,0.2013,3.406,3.2047
172,0.003331,935.68,274.79,0.2937,96.3361,96.5526,0.2165,3.6639,3.4474
173,0.003153,707.85,152.91,0.216,96.5315,96.7365,0.205,3.4685,3.2635
